TE	B22	COR	FIN	GIM	JUT	KIE	LUN	MUN	R177	R375	REF	SLO	TEN	TOM
TE_00045	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00046	1	1	1	1	1	1	1	1	1	1	1	0	1	1
TE_00047	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00048	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00049	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00050	1	0	1	0	1	0	1	1	1	0	1	1	1	1
TE_00051	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00052	1	0	1	1	0	1	0	1	0	0	1	1	1	1
TE_00053	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00054	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00055	1	1	1	1	1	1	1	1	1	1	1	1	0	1
TE_00056	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00057	1	0	0	0	1	0	1	1	0	1	1	0	1	0
TE_00058	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00059	1	0	0	1	1	1	1	1	1	1	1	1	1	1
TE_00060	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00061	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00062	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00063	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00064	1	1	1	1	1	0	1	1	1	0	1	1	1	1
TE_00065	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00066	1	0	0	0	0	0	0	0	0	0	0	0	0	1
TE_00067	1	0	0	0	1	1	1	0	0	1	1	1	0	1
TE_00068	1	0	0	0	1	0	0	0	0	0	1	0	0	0
TE_00069	1	1	1	1	1	1	1	1	1	1	1	1	0	1
TE_00070	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00071	1	0	0	0	0	0	0	0	0	0	0	0	0	1
TE_00072	1	0	0	0	0	0	0	0	0	0	0	0	0	1
TE_00073	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00074	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00075	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00076	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00077	1	1	1	1	1	0	1	1	1	1	0	1	0	1
TE_00078	1	0	0	1	1	1	0	0	1	1	1	1	0	1
TE_00079	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00080	1	1	0	1	1	1	1	1	1	1	1	1	1	1
TE_00081	1	0	0	0	1	1	1	1	1	1	0	1	1	0
TE_00082	1	1	0	0	1	1	0	1	1	1	1	1	0	1
TE_00083	1	1	1	1	1	1	1	1	1	1	1	1	0	1
TE_00084	1	1	1	1	1	1	1	1	0	1	1	1	0	1
TE_00085	1	0	0	1	0	1	0	0	0	1	1	0	0	0
TE_00086	1	1	1	1	0	1	1	1	0	1	1	1	0	1
TE_00087	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00088	1	0	0	1	0	0	1	0	0	0	0	0	1	1
TE_00089	1	1	0	1	1	1	1	1	1	0	1	0	1	1
TE_00090	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00091	1	0	0	1	1	1	1	1	1	1	1	1	1	0
TE_00092	1	1	0	1	0	1	1	1	1	1	1	1	1	1
TE_00093	1	1	1	1	1	1	1	1	1	1	0	1	1	1
TE_00094	1	1	1	1	1	1	1	1	1	1	1	0	1	1
TE_00095	1	0	0	0	1	0	0	1	0	1	1	0	1	1
TE_00096	1	1	1	1	1	0	1	1	1	1	1	1	1	1
TE_00097	1	1	0	1	1	0	0	0	0	0	1	1	0	1
TE_00098	1	0	0	0	0	0	0	1	0	0	0	0	0	0
TE_00099	1	0	0	1	0	1	1	1	0	1	0	1	1	1
TE_00100	1	0	0	0	1	1	0	0	0	1	1	0	1	1
TE_00101	1	1	1	1	1	1	1	1	1	1	1	1	0	1
TE_00102	1	1	1	0	0	0	0	0	0	0	0	0	0	0
TE_00103	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00104	1	0	1	0	1	1	0	0	0	1	1	1	0	0
TE_00105	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00106	1	0	0	1	1	0	1	0	0	1	1	0	1	0
TE_00107	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00108	1	0	0	1	0	1	0	0	0	0	0	0	1	0
TE_00109	1	1	1	1	1	1	0	0	1	1	1	1	1	1
TE_00110	1	1	1	1	1	1	1	1	1	0	1	1	1	1
TE_00111	1	0	0	0	0	0	0	0	0	0	0	0	1	0
TE_00112	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00113	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00114	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00115	1	0	0	1	0	0	1	0	0	1	1	0	1	1
TE_00116	1	0	0	0	0	1	1	1	1	0	1	1	1	1
TE_00117	1	1	1	0	1	1	0	1	1	0	0	1	1	0
TE_00118	1	1	1	1	0	1	1	1	1	1	1	1	1	0
TE_00119	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00120	1	1	0	1	0	1	1	1	1	0	1	1	1	0
TE_00121	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00122	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00123	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00124	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00125	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00126	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00127	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00128	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00129	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00130	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00131	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00132	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00133	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00134	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00135	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00136	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00137	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00138	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00139	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00140	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00141	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00142	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00143	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00144	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00145	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00146	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00147	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00148	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00149	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00150	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00151	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00152	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00153	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00154	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00155	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00156	1	1	1	0	1	0	0	0	1	0	1	0	0	1
TE_00157	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00158	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00159	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00160	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00161	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00162	1	1	1	1	1	1	0	1	1	1	1	1	1	1
TE_00163	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00164	1	1	0	1	0	1	0	1	0	0	0	0	1	1
TE_00165	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00166	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00167	1	1	1	1	1	0	1	1	1	1	1	1	1	1
TE_00168	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00169	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00170	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00171	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00172	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00173	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00174	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00175	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00176	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00177	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00178	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00179	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00180	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00181	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00182	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00183	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00184	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00185	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00186	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00187	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00188	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00189	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00190	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00191	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00192	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00193	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00194	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00195	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00196	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00197	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00198	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00199	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00200	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00201	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00202	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00203	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00204	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00205	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00206	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00207	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00208	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00209	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00210	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00211	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00212	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00213	1	0	0	0	0	0	0	1	0	1	0	0	0	1
TE_00214	1	0	0	0	0	1	0	0	1	1	0	0	1	1
TE_00215	1	0	0	0	0	0	1	1	0	1	0	1	0	0
TE_00216	1	0	0	1	0	1	1	1	0	0	0	1	0	0
TE_00217	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00218	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00219	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00220	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00221	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00222	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00223	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00224	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00225	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00226	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00227	1	1	1	1	0	1	0	0	1	0	0	0	1	0
TE_00228	1	1	0	0	1	0	1	0	0	0	1	1	1	0
TE_00229	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00230	1	1	1	0	0	1	1	0	1	0	0	1	0	0
TE_00231	1	0	1	1	0	1	0	1	0	1	1	0	0	1
TE_00232	1	1	1	1	0	1	1	1	1	1	1	1	1	1
TE_00233	1	0	0	1	0	1	1	0	0	0	0	1	1	1
TE_00234	1	1	1	1	0	1	1	1	1	1	1	1	1	1
TE_00235	1	0	0	0	0	0	0	1	0	0	0	0	0	0
TE_00236	1	1	1	1	1	1	1	1	1	1	1	0	0	1
TE_00237	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00238	1	1	1	1	1	1	1	0	1	1	1	1	1	1
TE_00239	1	1	0	0	0	0	0	1	1	0	0	0	0	1
TE_00240	1	0	1	0	0	1	1	0	1	1	1	1	1	0
TE_00241	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00242	1	0	0	0	0	0	0	1	0	0	0	1	0	0
TE_00243	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00244	1	1	1	1	0	1	1	1	1	1	0	1	1	1
TE_00245	1	0	0	1	0	1	1	1	1	1	0	1	1	1
TE_00246	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00247	1	1	1	1	1	1	1	1	1	1	1	0	1	1
TE_00248	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00249	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00250	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00251	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00252	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00253	1	0	0	0	0	0	0	0	1	0	0	0	0	0
TE_00254	1	0	1	1	1	0	1	0	1	1	1	1	0	1
TE_00255	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00256	1	0	0	0	0	0	0	1	0	0	1	0	0	1
TE_00257	1	1	1	1	1	1	1	1	1	1	1	1	0	1
TE_00258	1	1	1	1	1	1	1	1	0	1	1	1	1	1
TE_00259	1	1	1	1	1	1	1	1	0	1	1	1	1	1
TE_00260	1	1	0	0	1	0	0	1	0	0	0	0	0	0
TE_00261	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00262	1	1	1	1	1	1	1	1	0	1	0	1	1	1
TE_00263	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00264	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00265	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00266	1	0	1	0	1	1	1	0	0	0	0	0	0	1
TE_00267	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00268	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00269	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00270	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00271	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00272	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00273	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00274	1	1	1	0	0	0	0	0	1	0	0	0	0	0
TE_00275	1	0	0	1	0	1	1	1	1	1	0	0	1	0
TE_00276	1	0	0	0	0	0	0	0	0	0	0	0	1	0
TE_00277	1	1	1	0	0	0	1	1	1	0	1	0	1	1
TE_00278	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00279	1	0	1	1	0	1	1	0	0	0	0	1	1	1
TE_00280	1	0	0	0	1	0	0	0	0	0	0	1	1	1
TE_00281	1	0	0	0	1	0	0	0	0	0	0	1	0	1
TE_00282	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00283	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00284	1	1	0	1	0	0	0	1	1	0	0	0	0	0
TE_00285	1	1	0	1	1	0	1	1	1	0	0	0	0	0
TE_00286	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00287	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00288	1	1	0	1	0	0	1	1	1	0	0	1	0	0
TE_00289	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00290	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00291	1	1	1	0	1	0	0	1	0	0	1	0	1	0
TE_00292	1	1	1	0	0	1	1	0	1	1	1	1	0	1
TE_00293	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00294	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00295	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00296	1	0	0	0	0	0	1	0	0	0	0	0	0	0
TE_00297	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00298	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00299	1	1	0	0	0	0	0	0	0	0	0	0	0	0
TE_00300	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00301	1	1	1	0	0	0	1	1	1	1	1	1	1	1
TE_00302	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00303	1	1	1	1	1	0	1	1	0	0	0	0	0	0
TE_00304	1	0	0	1	0	1	0	1	1	1	1	0	1	1
TE_00305	1	0	0	0	0	0	0	1	1	0	0	0	0	0
TE_00306	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00307	1	1	1	0	1	1	0	0	1	1	1	1	0	1
TE_00308	1	0	1	1	1	1	1	1	0	0	1	1	1	1
TE_00309	1	1	1	1	1	0	1	1	1	1	0	1	1	1
TE_00310	1	1	1	0	1	1	1	1	0	0	1	1	0	0
TE_00311	1	1	1	1	1	1	1	1	0	1	1	0	1	1
TE_00312	1	1	1	1	0	0	1	1	1	1	1	0	1	1
TE_00313	1	0	0	0	0	0	1	0	0	0	0	0	1	0
TE_00314	1	1	1	1	1	1	1	1	1	1	1	1	0	1
TE_00315	1	0	1	1	1	1	1	1	1	1	1	1	1	1
TE_00316	1	1	0	0	0	1	0	0	0	1	0	0	0	0
TE_00317	1	0	0	0	0	0	0	0	0	0	0	0	1	0
TE_00318	1	1	1	1	0	1	1	0	0	1	0	1	1	1
TE_00319	1	0	0	1	1	1	1	0	1	1	1	1	1	0
TE_00320	1	0	0	1	0	0	0	0	0	0	0	0	0	1
TE_00321	1	1	1	1	1	1	1	1	1	1	0	1	1	1
TE_00322	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00323	1	1	0	1	1	0	1	1	1	1	1	1	1	1
TE_00324	1	0	1	1	1	1	0	0	1	1	1	1	1	1
TE_00325	1	0	0	0	0	1	0	0	0	0	0	0	0	0
TE_00326	1	1	0	1	1	1	1	1	1	1	1	1	1	1
TE_00327	1	1	1	0	1	0	1	1	1	1	1	1	0	1
TE_00328	1	1	1	0	1	0	1	1	1	1	1	1	0	1
TE_00329	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00330	1	1	1	1	0	1	1	1	1	1	1	1	1	1
TE_00331	1	1	1	1	1	1	1	1	1	1	1	1	0	1
TE_00332	1	1	1	1	1	1	1	0	1	0	1	1	1	1
TE_00333	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00334	1	0	0	0	1	0	0	0	1	0	0	0	0	0
TE_00335	1	1	0	1	1	1	1	1	0	1	1	1	1	1
TE_00336	1	0	0	0	0	0	0	0	0	1	0	0	0	0
TE_00337	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00338	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00339	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00340	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00341	1	1	1	1	1	1	1	1	1	0	1	1	0	1
TE_00342	1	0	0	0	0	0	1	1	0	1	1	0	0	1
TE_00343	1	0	0	0	1	0	0	1	0	0	1	1	0	1
TE_00344	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00345	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00346	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00347	1	0	0	0	0	1	0	1	1	1	0	0	0	1
TE_00348	1	0	0	0	0	1	0	1	0	0	0	0	0	1
TE_00349	1	1	1	1	0	1	1	1	1	1	0	1	1	1
TE_00350	1	1	1	0	0	1	0	0	0	0	0	0	0	0
TE_00351	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TE_00352	1	0	0	1	0	0	0	0	1	1	0	0	1	0
TE_00353	1	0	0	0	0	1	0	1	0	0	1	0	1	0
TE_00354	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00355	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00356	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00357	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00358	1	1	0	1	1	1	1	1	1	1	1	1	1	1
TE_00359	1	1	1	1	1	1	0	0	1	0	1	0	0	0
TE_00360	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00361	1	0	0	1	1	1	0	1	0	1	1	0	1	1
TE_00362	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00363	1	1	1	0	1	1	1	1	1	1	1	1	1	1
TE_00364	1	1	1	1	1	1	1	0	1	1	1	1	0	1
TE_00365	1	1	1	1	0	0	1	0	1	0	1	1	1	1
TE_00366	1	1	1	0	1	1	1	0	1	1	1	1	0	1
TE_00367	1	0	0	0	1	1	0	0	1	0	1	0	0	0
TE_00368	1	0	0	0	1	1	0	0	1	0	1	0	0	0
TE_00369	1	0	0	1	1	1	1	1	1	1	1	1	1	1
TE_00370	1	1	1	1	1	1	0	0	0	1	1	0	0	0
TE_00371	1	1	1	1	0	1	1	1	1	1	0	1	1	1
TE_00372	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00373	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00374	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00375	1	0	0	0	0	1	0	1	0	1	0	0	1	1
TE_00376	1	0	0	0	0	1	0	0	0	0	0	1	0	0
TE_00377	1	0	1	0	0	0	1	0	0	1	1	1	1	1
TE_00378	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00379	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00380	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00381	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00382	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00383	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00384	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00385	1	1	0	1	1	0	1	1	1	1	1	1	0	1
TE_00386	1	0	0	0	0	0	0	1	1	0	0	0	1	1
TE_00387	1	1	0	0	0	0	1	0	0	1	0	0	0	0
TE_00388	1	0	0	0	0	0	0	0	1	0	0	0	0	1
TE_00389	1	1	1	1	1	0	0	1	1	1	1	1	1	1
TE_00390	1	0	1	1	1	1	1	1	1	1	1	1	1	1
TE_00391	1	0	0	1	1	1	1	1	0	1	0	0	1	1
TE_00392	1	0	1	0	0	0	0	0	1	1	1	1	1	0
TE_00393	1	0	1	1	1	1	1	1	1	1	1	1	1	1
TE_00394	1	1	0	1	0	1	1	0	0	1	1	0	0	0
TE_00395	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00396	1	1	1	1	0	1	1	1	1	1	0	1	1	0
TE_00397	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00398	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00399	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00400	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00401	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00402	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00403	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00404	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00405	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00406	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00407	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TE_00408	1	1	0	1	1	1	1	1	1	1	1	1	1	1
