TE	B22	COR	FIN	GIM	JUT	KIE	LUN	MUN	R177	R375	REF	SLO	TEN	TOM	Length	Family
TE_00025	1	0	0	1	1	0	0	1	1	0	1	1	0	0	84.0	Cr1a
TE_00026	1	0	0	1	1	0	0	1	1	0	1	1	0	0	75.0	gypsy8
TE_00027	1	0	0	0	0	0	0	1	0	0	0	0	0	1	40.0	Dvir-TART
TE_00028	1	0	0	0	0	0	0	1	0	0	0	1	0	1	126.0	GATE
TE_00029	1	0	0	0	0	0	0	0	0	0	0	0	0	0	517.0	UnknownFamily
TE_00030	1	0	0	0	0	0	0	0	0	0	0	0	0	0	547.0	412
TE_00031	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5152.0	412
TE_00032	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1706.0	412
TE_00033	1	0	1	1	0	1	0	0	1	0	0	0	1	0	83.66666666666667	gypsy10
TE_00034	1	1	1	1	1	1	1	1	1	1	1	1	1	1	250.92857142857142	Dvir-TART
TE_00035	1	1	1	1	1	1	1	1	1	1	1	1	1	1	58.714285714285715	Ddip-Bari1
TE_00036	1	1	0	0	1	1	0	1	0	1	1	1	1	1	113.8	INE-1
TE_00037	1	1	0	1	0	0	0	1	0	1	0	1	0	0	34.0	1360
TE_00038	1	1	1	1	1	1	1	1	1	1	1	1	1	1	64.5	INE-1
TE_00039	1	0	0	0	0	0	0	0	0	0	0	0	0	0	218.0	copia
TE_00040	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4857.0	copia
TE_00041	1	0	0	0	0	0	0	1	0	1	0	0	0	0	130.25	H
TE_00042	1	0	0	0	0	0	0	1	0	0	0	0	0	0	120.5	H
TE_00043	1	0	0	0	0	0	0	1	0	0	0	0	0	0	37.0	H
TE_00044	1	1	0	1	1	0	1	1	1	1	0	0	0	0	95.875	transib4
TE_00045	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100.14285714285714	INE-1
TE_00046	1	1	1	1	1	1	1	1	1	1	1	0	1	1	50.30769230769231	baggins
TE_00047	1	1	1	1	1	1	1	1	1	1	1	1	1	1	140.42857142857142	transib1
TE_00048	1	1	1	1	1	1	1	1	1	1	1	1	1	1	217.85714285714286	Cr1a
TE_00049	1	1	1	1	1	1	1	1	1	1	1	1	1	1	118.28571428571429	Max-element
TE_00050	1	0	1	0	1	0	1	1	1	0	1	1	1	1	45.7	UnknownFamily
TE_00051	1	1	1	1	1	1	1	1	1	1	1	1	1	1	32.0	baggins
TE_00052	1	0	1	1	0	1	0	1	0	0	1	1	1	1	124.55555555555556	INE-1
TE_00053	1	1	1	1	1	1	1	1	1	1	1	1	1	1	34.0	Ivk
TE_00054	1	1	1	1	1	1	1	1	1	1	1	1	1	1	79.0	Doc2
TE_00055	1	1	1	1	1	1	1	1	1	1	1	1	0	1	90.6923076923077	Dpse-mini-me
TE_00056	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10609.714285714286	UnknownFamily
TE_00057	1	0	0	0	1	0	1	1	0	1	1	0	1	0	193.0	UnknownFamily
TE_00058	1	1	1	1	1	1	1	1	1	1	1	1	1	1	53.0	1360
TE_00059	1	0	0	1	1	1	1	1	1	1	1	1	1	1	47.0	I-element
TE_00060	1	0	0	0	0	0	0	0	0	0	0	0	0	0	91.0	Ivk
TE_00061	1	0	0	0	0	0	0	0	0	0	0	0	0	0	73.0	Dvir-TART
TE_00062	1	1	1	1	1	1	1	1	1	1	1	1	1	1	33.0	INE-1
TE_00063	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100.35714285714286	HB
TE_00064	1	1	1	1	1	0	1	1	1	0	1	1	1	1	31.0	baggins
TE_00065	1	0	0	0	0	0	0	0	0	0	0	0	0	0	847.0	P-element
TE_00066	1	0	0	0	0	0	0	0	0	0	0	0	0	1	224.5	P-element
TE_00067	1	0	0	0	1	1	1	0	0	1	1	1	0	1	50.0	F-element
TE_00068	1	0	0	0	1	0	0	0	0	0	1	0	0	0	51.0	X-element
TE_00069	1	1	1	1	1	1	1	1	1	1	1	1	0	1	32.76923076923077	S2
TE_00070	1	0	0	0	0	0	0	0	0	0	0	0	0	0	44.0	Dbuz-Kepler
TE_00071	1	0	0	0	0	0	0	0	0	0	0	0	0	1	445.5	Quasimodo
TE_00072	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2886.0	Quasimodo
TE_00073	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1400.0	Quasimodo
TE_00074	1	0	0	0	0	0	0	0	0	0	0	0	0	0	45.0	Quasimodo
TE_00075	1	0	0	0	0	0	0	0	0	0	0	0	0	0	760.0	Quasimodo
TE_00076	1	0	0	0	0	0	0	0	0	0	0	0	0	0	50.0	Cr1a
TE_00077	1	1	1	1	1	0	1	1	1	1	0	1	0	1	85.36363636363636	gypsy3
TE_00078	1	0	0	1	1	1	0	0	1	1	1	1	0	1	88.0	Dm88
TE_00079	1	0	0	0	0	0	0	0	0	0	0	0	0	0	57.0	Cr1a
TE_00080	1	1	0	1	1	1	1	1	1	1	1	1	1	1	48.07692307692308	roo
TE_00081	1	0	0	0	1	1	1	1	1	1	0	1	1	0	173.22222222222223	INE-1
TE_00082	1	1	0	0	1	1	0	1	1	1	1	1	0	1	97.6	INE-1
TE_00083	1	1	1	1	1	1	1	1	1	1	1	1	0	1	116.14285714285714	INE-1
TE_00084	1	1	1	1	1	1	1	1	0	1	1	1	0	1	144.57142857142858	INE-1
TE_00085	1	0	0	1	0	1	0	0	0	1	1	0	0	0	105.2	Doc3
TE_00086	1	1	1	1	0	1	1	1	0	1	1	1	0	1	134.36363636363637	INE-1
TE_00087	1	0	0	0	0	0	0	0	0	0	0	0	0	0	209.0	Tc3
TE_00088	1	0	0	1	0	0	1	0	0	0	0	0	1	1	184.8	gypsy8
TE_00089	1	1	0	1	1	1	1	1	1	0	1	0	1	1	143.9090909090909	baggins
TE_00090	1	1	1	1	1	1	1	1	1	1	1	1	1	1	29.0	Rt1b
TE_00091	1	0	0	1	1	1	1	1	1	1	1	1	1	0	32.0	McClintock
TE_00092	1	1	0	1	0	1	1	1	1	1	1	1	1	1	103.0	INE-1
TE_00093	1	1	1	1	1	1	1	1	1	1	0	1	1	1	3064.3076923076924	UnknownFamily
TE_00094	1	1	1	1	1	1	1	1	1	1	1	0	1	1	879.2307692307693	UnknownFamily
TE_00095	1	0	0	0	1	0	0	1	0	1	1	0	1	1	11219.0	UnknownFamily
TE_00096	1	1	1	1	1	0	1	1	1	1	1	1	1	1	330.61538461538464	Dvir-TART
TE_00097	1	1	0	1	1	0	0	0	0	0	1	1	0	1	100000	Dbuz-INE-1
TE_00098	1	0	0	0	0	0	0	1	0	0	0	0	0	0	36.5	Cr1a
TE_00099	1	0	0	1	0	1	1	1	0	1	0	1	1	1	38.0	X-element
TE_00100	1	0	0	0	1	1	0	0	0	1	1	0	1	1	77.0	gypsy10
TE_00101	1	1	1	1	1	1	1	1	1	1	1	1	0	1	96.0	HB
TE_00102	1	1	1	0	0	0	0	0	0	0	0	0	0	0	85.33333333333333	baggins
TE_00103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	32.0	FB
TE_00104	1	0	1	0	1	1	0	0	0	1	1	1	0	0	289.85714285714283	Dvir-TART
TE_00105	1	1	1	1	1	1	1	1	1	1	1	1	1	1	34.0	accord2
TE_00106	1	0	0	1	1	0	1	0	0	1	1	0	1	0	61.714285714285715	flea
TE_00107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	88.0	BS
TE_00108	1	0	0	1	0	1	0	0	0	0	0	0	1	0	399.25	Juan
TE_00109	1	1	1	1	1	1	0	0	1	1	1	1	1	1	79.0	Dvir-TART
TE_00110	1	1	1	1	1	1	1	1	1	0	1	1	1	1	58.30769230769231	UnknownFamily
TE_00111	1	0	0	0	0	0	0	0	0	0	0	0	1	0	194.5	INE-1
TE_00112	1	1	1	1	1	1	1	1	1	1	1	1	1	1	67.07142857142857	mdg1
TE_00113	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6980.0	UnknownFamily
TE_00114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	149.64285714285714	mdg3
TE_00115	1	0	0	1	0	0	1	0	0	1	1	0	1	1	65.42857142857143	FB
TE_00116	1	0	0	0	0	1	1	1	1	0	1	1	1	1	5386.222222222223	UnknownFamily
TE_00117	1	1	1	0	1	1	0	1	1	0	0	1	1	0	100000	blood
TE_00118	1	1	1	1	0	1	1	1	1	1	1	1	1	0	116.66666666666667	UnknownFamily
TE_00119	1	0	0	0	0	0	0	0	0	0	0	0	0	0	46.0	Doc3
TE_00120	1	1	0	1	0	1	1	1	1	0	1	1	1	0	57.9	HeT-A
TE_00121	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5270.0	Transpac
TE_00122	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4693.0	rover
TE_00123	1	0	0	0	0	0	0	0	0	0	0	0	0	0	614.0	rover
TE_00124	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6618.0	invader2
TE_00125	1	0	0	0	0	0	0	0	0	0	0	0	0	0	20378.0	rover
TE_00126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11805.0	Stalker
TE_00127	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2691.0	rover
TE_00128	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9712.0	rover
TE_00129	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5665.0	I-element
TE_00130	1	0	0	0	0	0	0	0	0	0	0	0	0	0	648.0	rover
TE_00131	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1157.0	rover
TE_00132	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5203.0	HeT-A
TE_00133	1	0	0	0	0	0	0	0	0	0	0	0	0	0	171.0	TAHRE
TE_00134	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1290.0	TAHRE
TE_00135	1	0	0	0	0	0	0	0	0	0	0	0	0	0	238.0	TAHRE
TE_00136	1	0	0	0	0	0	0	0	0	0	0	0	0	0	20009.0	Doc2
TE_00137	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1302.0	HeT-A
TE_00138	1	0	0	0	0	0	0	0	0	0	0	0	0	0	217.0	TAHRE
TE_00139	1	0	0	0	0	0	0	0	0	0	0	0	0	0	660.0	TAHRE
TE_00140	1	0	0	0	0	0	0	0	0	0	0	0	0	0	653.0	TAHRE
TE_00141	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4952.0	TAHRE
TE_00142	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10383.0	Doc2
TE_00143	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1316.0	HeT-A
TE_00144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	217.0	TAHRE
TE_00145	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2674.0	TAHRE
TE_00146	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4288.0	TAHRE
TE_00147	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3297.0	UnknownFamily
TE_00148	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6584.0	UnknownFamily
TE_00149	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2635.0	pogo
TE_00150	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7855.0	roo
TE_00151	1	0	0	0	0	0	0	0	0	0	0	0	0	0	42.0	roo
TE_00152	1	0	0	0	0	0	0	0	0	0	0	0	0	0	64.0	roo
TE_00153	1	0	0	0	0	0	0	0	0	0	0	0	0	0	989.0	roo
TE_00154	1	0	0	0	0	0	0	0	0	0	0	0	0	0	67.0	HMS-Beagle
TE_00155	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5269.0	Transpac
TE_00156	1	1	1	0	1	0	0	0	1	0	1	0	0	1	100.0	1731
TE_00157	1	1	1	1	1	1	1	1	1	1	1	1	1	1	62.92857142857143	Cr1a
TE_00158	1	0	0	0	0	0	0	0	0	0	0	0	0	0	59.0	INE-1
TE_00159	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1750.0	springer
TE_00160	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5434.0	412
TE_00161	1	0	0	0	0	0	0	0	0	0	0	0	0	0	279.0	412
TE_00162	1	1	1	1	1	1	0	1	1	1	1	1	1	1	79.61538461538461	GATE
TE_00163	1	0	0	0	0	0	0	0	0	0	0	0	0	0	49.0	Ivk
TE_00164	1	1	0	1	0	1	0	1	0	0	0	0	1	1	53.142857142857146	Rt1a
TE_00165	1	0	0	0	0	0	0	0	0	0	0	0	0	0	73.0	1360
TE_00166	1	0	0	0	0	0	0	0	0	0	0	0	0	0	85.0	Dvir-TART
TE_00167	1	1	1	1	1	0	1	1	1	1	1	1	1	1	78.46153846153847	roo
TE_00168	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3944.0	Idefix
TE_00169	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2428.0	Idefix
TE_00170	1	0	0	0	0	0	0	0	0	0	0	0	0	0	840.0	gypsy10
TE_00171	1	0	0	0	0	0	0	0	0	0	0	0	0	0	33.0	UnknownFamily
TE_00172	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1128.0	F-element
TE_00173	1	0	0	0	0	0	0	0	0	0	0	0	0	0	56.0	gypsy12
TE_00174	1	0	0	0	0	0	0	0	0	0	0	0	0	0	37.0	Idefix
TE_00175	1	0	0	0	0	0	0	0	0	0	0	0	0	0	54.0	Dvir-TART
TE_00176	1	0	0	0	0	0	0	0	0	0	0	0	0	0	50.0	INE-1
TE_00177	1	0	0	0	0	0	0	0	0	0	0	0	0	0	265.0	Cr1a
TE_00178	1	0	0	0	0	0	0	0	0	0	0	0	0	0	604.0	baggins
TE_00179	1	0	0	0	0	0	0	0	0	0	0	0	0	0	83.0	Tc1-2
TE_00180	1	0	0	0	0	0	0	0	0	0	0	0	0	0	105.0	3S18
TE_00181	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1081.0	3S18
TE_00182	1	0	0	0	0	0	0	0	0	0	0	0	0	0	951.0	3S18
TE_00183	1	0	0	0	0	0	0	0	0	0	0	0	0	0	328.0	gypsy10
TE_00184	1	0	0	0	0	0	0	0	0	0	0	0	0	0	390.0	roo
TE_00185	1	0	0	0	0	0	0	0	0	0	0	0	0	0	157.0	INE-1
TE_00186	1	0	0	0	0	0	0	0	0	0	0	0	0	0	98.0	G5A
TE_00187	1	0	0	0	0	0	0	0	0	0	0	0	0	0	214.0	transib3
TE_00188	1	0	0	0	0	0	0	0	0	0	0	0	0	0	995.0	Doc3
TE_00189	1	0	0	0	0	0	0	0	0	0	0	0	0	0	149.0	Porto1
TE_00190	1	0	0	0	0	0	0	0	0	0	0	0	0	0	91.0	UnknownFamily
TE_00191	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1347.0	invader1
TE_00192	1	0	0	0	0	0	0	0	0	0	0	0	0	0	159.0	gypsy2
TE_00193	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2127.0	gypsy2
TE_00194	1	0	0	0	0	0	0	0	0	0	0	0	0	0	64.0	Idefix
TE_00195	1	0	0	0	0	0	0	0	0	0	0	0	0	0	428.0	G5
TE_00196	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1947.0	1360
TE_00197	1	0	0	0	0	0	0	0	0	0	0	0	0	0	309.0	Rt1c
TE_00198	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2438.0	gypsy2
TE_00199	1	0	0	0	0	0	0	0	0	0	0	0	0	0	260.0	gypsy10
TE_00200	1	0	0	0	0	0	0	0	0	0	0	0	0	0	617.0	invader2
TE_00201	1	0	0	0	0	0	0	0	0	0	0	0	0	0	25272.0	1360
TE_00202	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1156.0	Cr1a
TE_00203	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3904.0	G5A
TE_00204	1	0	0	0	0	0	0	0	0	0	0	0	0	0	139.0	INE-1
TE_00205	1	0	0	0	0	0	0	0	0	0	0	0	0	0	89.0	Cr1a
TE_00206	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1023.0	Cr1a
TE_00207	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4130.0	INE-1
TE_00208	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1003.0	Cr1a
TE_00209	1	0	0	0	0	0	0	0	0	0	0	0	0	0	119.0	Doc3
TE_00210	1	0	0	0	0	0	0	0	0	0	0	0	0	0	112.5	Rt1c
TE_00211	1	0	0	0	0	0	0	0	0	0	0	0	0	0	366.0	S2
TE_00212	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4683.0	Doc
TE_00213	1	0	0	0	0	0	0	1	0	1	0	0	0	1	70.5	HeT-A
TE_00214	1	0	0	0	0	1	0	0	1	1	0	0	1	1	42.0	UnknownFamily
TE_00215	1	0	0	0	0	0	1	1	0	1	0	1	0	0	33.0	gypsy10
TE_00216	1	0	0	1	0	1	1	1	0	0	0	1	0	0	68.0	GATE
TE_00217	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1740.0	rover
TE_00218	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5153.0	412
TE_00219	1	0	0	0	0	0	0	0	0	0	0	0	0	0	534.0	412
TE_00220	1	1	1	1	1	1	1	1	1	1	1	1	1	1	54.0	Tirant
TE_00221	1	1	1	1	1	1	1	1	1	1	1	1	1	1	34.0	INE-1
TE_00222	1	1	1	1	1	1	1	1	1	1	1	1	1	1	26.142857142857142	INE-1
TE_00223	1	1	1	1	1	1	1	1	1	1	1	1	1	1	34.0	flea
TE_00224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	149.92857142857142	invader3
TE_00225	1	0	0	0	0	0	0	0	0	0	0	0	0	0	610.0	P-element
TE_00226	1	0	0	0	0	0	0	0	0	0	0	0	0	0	70.0	roo
TE_00227	1	1	1	1	0	1	0	0	1	0	0	0	1	0	49.0	INE-1
TE_00228	1	1	0	0	1	0	1	0	0	0	1	1	1	0	39.0	Cr1a
TE_00229	1	0	0	0	0	0	0	0	0	0	0	0	0	0	50.0	HMS-Beagle2
TE_00230	1	1	1	0	0	1	1	0	1	0	0	1	0	0	49.0	HMS-Beagle2
TE_00231	1	0	1	1	0	1	0	1	0	1	1	0	0	1	110.0	INE-1
TE_00232	1	1	1	1	0	1	1	1	1	1	1	1	1	1	57.0	jockey
TE_00233	1	0	0	1	0	1	1	0	0	0	0	1	1	1	67.0	UnknownFamily
TE_00234	1	1	1	1	0	1	1	1	1	1	1	1	1	1	96.0	INE-1
TE_00235	1	0	0	0	0	0	0	1	0	0	0	0	0	0	37.0	UnknownFamily
TE_00236	1	1	1	1	1	1	1	1	1	1	1	0	0	1	63.0	INE-1
TE_00237	1	1	1	1	1	1	1	1	1	1	1	1	1	1	70.5	1360
TE_00238	1	1	1	1	1	1	1	0	1	1	1	1	1	1	70.6923076923077	Dbuz-INE-1
TE_00239	1	1	0	0	0	0	0	1	1	0	0	0	0	1	48.6	micropia
TE_00240	1	0	1	0	0	1	1	0	1	1	1	1	1	0	39.333333333333336	17-6
TE_00241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	68.71428571428571	Dvir-TART
TE_00242	1	0	0	0	0	0	0	1	0	0	0	1	0	0	35.0	TART-B
TE_00243	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1155.0	roo
TE_00244	1	1	1	1	0	1	1	1	1	1	0	1	1	1	59.583333333333336	Quasimodo
TE_00245	1	0	0	1	0	1	1	1	1	1	0	1	1	1	838.5	Quasimodo
TE_00246	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1354.0	S-element
TE_00247	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1319.923076923077	S-element
TE_00248	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4529.0	X-element
TE_00249	1	0	0	0	0	0	0	0	0	0	0	0	0	0	111.0	X-element
TE_00250	1	1	1	1	1	1	1	1	1	1	1	1	1	1	72.0	UnknownFamily
TE_00251	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60.0	gypsy2
TE_00252	1	1	1	1	1	1	1	1	1	1	1	1	1	1	247.07142857142858	Tc3
TE_00253	1	0	0	0	0	0	0	0	1	0	0	0	0	0	986.0	H
TE_00254	1	0	1	1	1	0	1	0	1	1	1	1	0	1	68.2	INE-1
TE_00255	1	0	0	0	0	0	0	0	0	0	0	0	0	0	34.0	GATE
TE_00256	1	0	0	0	0	0	0	1	0	0	1	0	0	1	71.0	HeT-A
TE_00257	1	1	1	1	1	1	1	1	1	1	1	1	0	1	199.0	BS
TE_00258	1	1	1	1	1	1	1	1	0	1	1	1	1	1	58.0	UnknownFamily
TE_00259	1	1	1	1	1	1	1	1	0	1	1	1	1	1	51.15384615384615	Dvir-TART
TE_00260	1	1	0	0	1	0	0	1	0	0	0	0	0	0	144.0	Tom1
TE_00261	1	0	0	0	0	0	0	0	0	0	0	0	0	0	64.0	Dbuz-INE-1
TE_00262	1	1	1	1	1	1	1	1	0	1	0	1	1	1	51.0	Porto1
TE_00263	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3267.0	I-element
TE_00264	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1901.0	I-element
TE_00265	1	0	0	0	0	0	0	0	0	0	0	0	0	0	111.0	I-element
TE_00266	1	0	1	0	1	1	1	0	0	0	0	0	0	1	106.0	UnknownFamily
TE_00267	1	0	0	0	0	0	0	0	0	0	0	0	0	0	217.0	412
TE_00268	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1453.0	412
TE_00269	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4143.0	412
TE_00270	1	0	0	0	0	0	0	0	0	0	0	0	0	0	962.0	412
TE_00271	1	0	0	0	0	0	0	0	0	0	0	0	0	0	256.0	412
TE_00272	1	0	0	0	0	0	0	0	0	0	0	0	0	0	308.0	412
TE_00273	1	0	0	0	0	0	0	0	0	0	0	0	0	0	68.0	Cr1a
TE_00274	1	1	1	0	0	0	0	0	1	0	0	0	0	0	64.0	INE-1
TE_00275	1	0	0	1	0	1	1	1	1	1	0	0	1	0	33.0	baggins
TE_00276	1	0	0	0	0	0	0	0	0	0	0	0	1	0	69.0	GATE
TE_00277	1	1	1	0	0	0	1	1	1	0	1	0	1	1	80.33333333333333	INE-1
TE_00278	1	0	0	0	0	0	0	0	0	0	0	0	0	0	32.0	G5
TE_00279	1	0	1	1	0	1	1	0	0	0	0	1	1	1	49.0	invader3
TE_00280	1	0	0	0	1	0	0	0	0	0	0	1	1	1	105.6	Dvir-TART
TE_00281	1	0	0	0	1	0	0	0	0	0	0	1	0	1	72.0	Ivk
TE_00282	1	0	0	0	0	0	0	0	0	0	0	0	0	0	98.0	Stalker4
TE_00283	1	0	0	0	0	0	0	0	0	0	0	0	0	0	65.0	UnknownFamily
TE_00284	1	1	0	1	0	0	0	1	1	0	0	0	0	0	39.0	S2
TE_00285	1	1	0	1	1	0	1	1	1	0	0	0	0	0	41.0	roo
TE_00286	1	0	0	0	0	0	0	0	0	0	0	0	0	0	695.0	roo
TE_00287	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7102.0	roo
TE_00288	1	1	0	1	0	0	1	1	1	0	0	1	0	0	47.0	invader3
TE_00289	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1073.0	roo
TE_00290	1	1	1	1	1	1	1	1	1	1	1	1	1	1	44.0	UnknownFamily
TE_00291	1	1	1	0	1	0	0	1	0	0	1	0	1	0	35.0	UnknownFamily
TE_00292	1	1	1	0	0	1	1	0	1	1	1	1	0	1	61.0	gypsy10
TE_00293	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1168.0	roo
TE_00294	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7108.0	roo
TE_00295	1	0	0	0	0	0	0	0	0	0	0	0	0	0	691.0	roo
TE_00296	1	0	0	0	0	0	1	0	0	0	0	0	0	0	35.0	1360
TE_00297	1	1	1	1	1	1	1	1	1	1	1	1	1	1	44.42857142857143	Dbuz-INE-1
TE_00298	1	0	0	0	0	0	0	0	0	0	0	0	0	0	587.0	HMS-Beagle
TE_00299	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2543.0	Dvir-TART
TE_00300	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1350.0	HMS-Beagle
TE_00301	1	1	1	0	0	0	1	1	1	1	1	1	1	1	61.81818181818182	Stalker
TE_00302	1	1	1	1	1	1	1	1	1	1	1	1	1	1	72.0	Dm88
TE_00303	1	1	1	1	1	0	1	1	0	0	0	0	0	0	494.7142857142857	UnknownFamily
TE_00304	1	0	0	1	0	1	0	1	1	1	1	0	1	1	267.7	17-6
TE_00305	1	0	0	0	0	0	0	1	1	0	0	0	0	0	93.0	UnknownFamily
TE_00306	1	1	1	1	1	1	1	1	1	1	1	1	1	1	82.65	mariner2
TE_00307	1	1	1	0	1	1	0	0	1	1	1	1	0	1	129.0	BS
TE_00308	1	0	1	1	1	1	1	1	0	0	1	1	1	1	64.0	Doc4
TE_00309	1	1	1	1	1	0	1	1	1	1	0	1	1	1	53.0	gypsy6
TE_00310	1	1	1	0	1	1	1	1	0	0	1	1	0	0	609.0	UnknownFamily
TE_00311	1	1	1	1	1	1	1	1	0	1	1	0	1	1	136.0	Doc
TE_00312	1	1	1	1	0	0	1	1	1	1	1	0	1	1	46.0	Dbuz-INE-1
TE_00313	1	0	0	0	0	0	1	0	0	0	0	0	1	0	31.0	UnknownFamily
TE_00314	1	1	1	1	1	1	1	1	1	1	1	1	0	1	602.8461538461538	Dvir-TART
